sample_name,time,treatment,rep,sample_ID
S001,T0,control,A,S001_T0_control_A
S002,T0,control,B,S002_T0_control_B
S003,T0,control,C,S003_T0_control_C
S004,T0,control_amf,A,S004_T0_control_amf_A
S005,T0,control_amf,B,S005_T0_control_amf_B
S006,T0,control_amf,C,S006_T0_control_amf_C
S007,T0,chicken,A,S007_T0_chicken_A
S008,T0,chicken,B,S008_T0_chicken_B
S009,T0,chicken,C,S009_T0_chicken_C
S010,T0,cow,A,S010_T0_cow_A
S011,T0,cow,B,S011_T0_cow_B
S012,T0,cow,C,S012_T0_cow_C
S013,T0,pellet,A,S013_T0_pellet_A
S014,T0,pellet,B,S014_T0_pellet_B
S015,T0,pellet,C,S015_T0_pellet_C
S016,T0,compost,A,S016_T0_compost_A
S017,T0,compost,B,S017_T0_compost_B
S018,T0,compost,C,S018_T0_compost_C
S019,T0,control_legumes,A,S019_T0_control_legumes_A
S020,T0,control_legumes,B,S020_T0_control_legumes_B
S021,T0,control_legumes,C,S021_T0_control_legumes_C
S022,T1,control,A,S022_T1_control_A
S023,T1,control,B,S023_T1_control_B
S024,T1,control,C,S024_T1_control_C
S025,T1,control_amf,A,S025_T1_control_amf_A
S026,T1,control_amf,B,S026_T1_control_amf_B
S027,T1,control_amf,C,S027_T1_control_amf_C
S028,T1,chicken,A,S028_T1_chicken_A
S029,T1,chicken,B,S029_T1_chicken_B
S030,T1,chicken,C,S030_T1_chicken_C
S031,T1,cow,A,S031_T1_cow_A
S032,T1,cow,B,S032_T1_cow_B
S033,T1,cow,C,S033_T1_cow_C
S034,T1,pellet,A,S034_T1_pellet_A
S035,T1,pellet,B,S035_T1_pellet_B
S036,T1,pellet,C,S036_T1_pellet_C
S037,T1,compost,A,S037_T1_compost_A
S038,T1,compost,B,S038_T1_compost_B
S039,T1,compost,C,S039_T1_compost_C
S040,T1,control_legumes,A,S040_T1_control_legumes_A
S041,T1,control_legumes,B,S041_T1_control_legumes_B
S042,T1,control_legumes,C,S042_T1_control_legumes_C
S043,T2,control,A,S043_T2_control_A
S044,T2,control,B,S044_T2_control_B
S045,T2,control,C,S045_T2_control_C
S046,T2,control_amf,A,S046_T2_control_amf_A
S047,T2,control_amf,B,S047_T2_control_amf_B
S048,T2,control_amf,C,S048_T2_control_amf_C
S049,T2,chicken,A,S049_T2_chicken_A
S050,T2,chicken,B,S050_T2_chicken_B
S051,T2,chicken,C,S051_T2_chicken_C
S052,T2,cow,A,S052_T2_cow_A
S053,T2,cow,B,S053_T2_cow_B
S054,T2,cow,C,S054_T2_cow_C
S055,T2,pellet,A,S055_T2_pellet_A
S056,T2,pellet,B,S056_T2_pellet_B
S057,T2,pellet,C,S057_T2_pellet_C
S058,T2,compost,A,S058_T2_compost_A
S059,T2,compost,B,S059_T2_compost_B
S060,T2,compost,C,S060_T2_compost_C
S061,T2,control_legumes,A,S061_T2_control_legumes_A
S062,T2,control_legumes,B,S062_T2_control_legumes_B
S063,T2,control_legumes,C,S063_T2_control_legumes_C
S064,T3,control,A,S064_T3_control_A
S065,T3,control,B,S065_T3_control_B
S066,T3,control,C,S066_T3_control_C
S067,T3,control_amf,A,S067_T3_control_amf_A
S068,T3,control_amf,B,S068_T3_control_amf_B
S069,T3,control_amf,C,S069_T3_control_amf_C
S070,T3,chicken,A,S070_T3_chicken_A
S071,T3,chicken,B,S071_T3_chicken_B
S072,T3,chicken,C,S072_T3_chicken_C
S073,T3,cow,A,S073_T3_cow_A
S074,T3,cow,B,S074_T3_cow_B
S075,T3,cow,C,S075_T3_cow_C
S076,T3,pellet,A,S076_T3_pellet_A
S077,T3,pellet,B,S077_T3_pellet_B
S078,T3,pellet,C,S078_T3_pellet_C
S079,T3,compost,A,S079_T3_compost_A
S080,T3,compost,B,S080_T3_compost_B
S081,T3,compost,C,S081_T3_compost_C
S082,T3,control_legumes,A,S082_T3_control_legumes_A
S083,T3,control_legumes,B,S083_T3_control_legumes_B
S084,T3,control_legumes,C,S084_T3_control_legumes_C
S085,T4,control,A,S085_T4_control_A
S086,T4,control,B,S086_T4_control_B
S087,T4,control,C,S087_T4_control_C
S088,T4,control_amf,A,S088_T4_control_amf_A
S089,T4,control_amf,B,S089_T4_control_amf_B
S090,T4,control_amf,C,S090_T4_control_amf_C
S091,T4,chicken,A,S091_T4_chicken_A
S092,T4,chicken,B,S092_T4_chicken_B
S093,T4,chicken,C,S093_T4_chicken_C
S094,T4,cow,A,S094_T4_cow_A
S095,T4,cow,B,S095_T4_cow_B
S096,T4,cow,C,S096_T4_cow_C
S097,T4,pellet,A,S097_T4_pellet_A
S098,T4,pellet,B,S098_T4_pellet_B
S099,T4,pellet,C,S099_T4_pellet_C
S100,T4,compost,A,S100_T4_compost_A
S101,T4,compost,B,S101_T4_compost_B
S102,T4,compost,C,S102_T4_compost_C
S103,T4,control_legumes,A,S103_T4_control_legumes_A
S104,T4,control_legumes,B,S104_T4_control_legumes_B
S105,T4,control_legumes,C,S105_T4_control_legumes_C
S106,T5,control,A,S106_T5_control_A
S107,T5,control,B,S107_T5_control_B
S108,T5,control,C,S108_T5_control_C
S109,T5,control_amf,A,S109_T5_control_amf_A
S110,T5,control_amf,B,S110_T5_control_amf_B
S111,T5,control_amf,C,S111_T5_control_amf_C
S112,T5,chicken,A,S112_T5_chicken_A
S113,T5,chicken,B,S113_T5_chicken_B
S114,T5,chicken,C,S114_T5_chicken_C
S115,T5,cow,A,S115_T5_cow_A
S116,T5,cow,B,S116_T5_cow_B
S117,T5,cow,C,S117_T5_cow_C
S118,T5,pellet,A,S118_T5_pellet_A
S119,T5,pellet,B,S119_T5_pellet_B
S120,T5,pellet,C,S120_T5_pellet_C
S121,T5,compost,A,S121_T5_compost_A
S122,T5,compost,B,S122_T5_compost_B
S123,T5,compost,C,S123_T5_compost_C
S124,T5,control_legumes,A,S124_T5_control_legumes_A
S125,T5,control_legumes,B,S125_T5_control_legumes_B
S126,T5,control_legumes,C,S126_T5_control_legumes_C
ExtrCTRL,,CTL,,ExtrCTRL_CTL
NTC,,NTC,,NTC_NTC
